data,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
2,
2,
3,
3,
3,
4,
4,
4,
5,
5,
6,
6,
6,
6,
6,
7,
7,
7,
8,
9,
11,
14,
16,
21,
28,
36,
47,
57,
64,
66,
68,
68,
64,
53,
36,
24,
18,
16,
13,
10,
9,
8,
7,
7,
7,
7,
7,
7,
6,
6,
6,
5,
5,
5,
4,
4,
4,
3,
2,
2,
1,
1,
1,
1,
0,
0,
0,
